RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022
102001,0,United States,Country,,271617,272983,279333,288667,295633,299267,299900,299600,299267,298633,297267,294267,291567,292933,297967,306498,314465,320965,322433,319800,315578,312244,307244,303267,299800,301467,306500,313000,320633,328300,335300,340300,342600,343433,342133,337800,333600,333933,340875,354241,367541,378267,381597,380797,377497,376967,376133,375780,374647
394913,1,"New York, NY",Msa,NY,517967,523000,534333,544667,554667,560000,560000,554833,549833,549833,550000,549667,549333,549333,554667,563333,573300,578267,578267,574633,573000,574333,577667,579000,577667,579333,586000,594000,599000,601326,611626,628293,642892,649592,652926,657000,663633,668967,673300,675926,675926,669826,660233,647900,641233,638230,641897,645997,652267
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,798667,803521,819121,836121,848567,849633,841300,824333,803000,786333,773333,761633,752967,749893,761593,778560,804633,824633,841000,847667,846967,846967,846967,849167,851167,867833,884667,887997,883663,893330,925000,956000,968000,973000,978333,989667,997667,999300,1009263,1009596,1009629,999666,994000,977000,956667,945333,945333,949333,952667
394463,3,"Chicago, IL",Msa,IL,301663,305967,319467,336133,346133,348600,344933,338267,330967,324933,318300,309933,303267,306600,319633,336000,345833,348333,345267,338733,331567,324933,319642,311308,306342,309967,320933,328933,332300,336600,343567,348567,349967,349667,346167,340832,332832,332998,338300,346633,353267,355933,355933,349300,341666,334966,329966,324633,321000
394514,4,"Dallas-Fort Worth, TX",Msa,TX,341633,345000,351633,359633,365967,365667,359300,350467,344100,340767,339600,337933,334633,334633,339333,347633,354467,355767,353967,348478,344178,341012,339967,338300,334967,334167,335833,339133,343133,348133,354800,358267,359933,359628,357992,355322,353472,355142,361112,369967,380967,390583,397217,399550,401633,403333,409000,415663,423660
394974,5,"Philadelphia, PA",Msa,PA,252633,249633,253667,260633,269933,275933,279267,278267,276233,274387,271416,265782,257662,253967,257967,267633,279167,287800,293133,293300,293333,293967,293967,290633,286330,286297,289630,294633,301333,311333,323333,333000,336333,338000,336666,333333,328333,325000,326667,334333,342300,348633,344300,337967,331633,331600,331600,329933,324966
394692,6,"Houston, TX",Msa,TX,314282,316559,319855,324575,328123,329458,326355,321503,315320,311956,308722,307105,305649,306943,310177,315029,318894,320188,318538,314944,310737,307953,305738,303686,301328,300846,303544,306099,310465,314997,320851,325670,330037,333681,335576,334303,332489,332324,337513,345189,355620,364620,370094,371330,370000,370622,370952,371085,370463
395209,7,"Washington, DC",Msa,DC,431660,431330,441667,452667,464667,474667,479833,476500,466832,461632,456599,449900,443233,443267,454967,471667,488167,496167,495833,489300,484633,483600,485300,483600,481633,486600,501600,513263,522980,531347,544425,551404,548654,542213,533883,528267,522933,522742,522775,529808,536000,542633,539300,533300,526667,525997,526993,528627,534263
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,395000,395000,396333,397833,399467,399800,399933,399633,399300,399000,398333,397000,395667,395000,396333,397667,399333,399666,403000,404667,404667,401667,401663,403330,403330,401783,403083,402750,402300,399000,399333,402333,405500,408833,409167,408000,404667,401633,402967,411300,426333,442330,457330,467330,475000,481667,489667,498300,508633
394347,9,"Atlanta, GA",Msa,GA,310063,314967,323633,335333,344667,349633,344933,337933,329633,324933,320900,317533,313900,313267,317050,326750,338084,344333,344633,339933,334900,330470,327170,325200,323660,323660,325663,327167,330500,336543,344377,351043,354667,356300,354633,351600,349933,351583,358417,374750,389733,400597,402630,402830,401833,400166,399999,399966,398966
